date,time,lat,lon,depth,mag
2000/05/04, 04:21:16.21,-1.105,123.573,26,7.6
2000/05/12, 18:43:18.12,-23.548,-66.452,225,7.2
2000/06/04, 16:28:26.17,-4.721,102.087,33,7.9
2000/06/18, 14:44:13.31,-13.802,97.453,10,7.9
2000/07/16, 03:57:45.56,-7.747,150.917,10,7.3
2000/08/06, 07:27:12.90,28.856,139.556,394.8,7.4
2000/10/04, 16:58:44.31,-15.421,166.91,23,7
2000/10/29, 08:37:08.77,-4.766,153.945,50,7
2000/11/16, 04:54:56.74,-3.98,152.169,33,8
2000/11/16, 07:42:16.93,-5.233,153.102,30,7.8
2000/11/17, 21:01:56.49,-5.496,151.781,33,7.8
2000/12/06, 17:11:06.40,39.566,54.799,30,7
2001/01/01, 06:57:04.17,6.898,126.579,33,7.5
2001/01/09, 16:49:28.00,-14.928,167.17,103,7.1
2001/01/13, 17:33:32.38,13.049,-88.66,60,7.7
2001/01/26, 03:16:40.50,23.419,70.232,16,7.7
2001/02/13, 19:28:30.26,-4.68,102.562,36,7.4
2001/02/24, 07:23:48.73,1.271,126.249,35,7.1
2001/06/03, 02:41:57.16,-29.666,-178.633,178.1,7.2
2001/06/23, 20:33:14.13,-16.265,-73.641,33,8.4
2001/07/07, 09:38:43.52,-17.543,-72.077,33,7.6
2001/08/21, 06:52:06.25,-36.813,-179.575,33,7.1
2001/10/12, 15:02:16.84,12.686,144.98,37,7
2001/10/19, 03:28:44.46,-4.102,123.907,33,7.5
2001/10/31, 09:10:20.00,-5.912,150.196,33,7
2001/11/14, 09:26:10.01,35.946,90.541,10,7.8
2001/12/12, 14:02:35.04,-42.813,124.688,10,7.1
2002/01/02, 17:22:48.76,-17.6,167.856,21,7.2
2002/03/03, 12:08:19.74,36.502,70.482,225.6,7.4
2002/03/05, 21:16:09.13,6.033,124.249,31,7.5
2002/03/31, 06:52:50.49,24.279,122.179,32.8,7.1
2002/04/26, 16:06:07.00,13.088,144.619,85.7,7.1
2002/06/28, 17:19:30.27,43.752,130.666,566,7.3
2002/08/19, 11:01:01.19,-21.696,-179.513,580,7.7
2002/08/19, 11:08:24.31,-23.884,178.495,675.4,7.7
2002/09/08, 18:44:23.71,-3.302,142.945,13,7.6
2002/10/10, 10:50:20.57,-1.757,134.297,10,7.6
2002/11/02, 01:26:10.70,2.824,96.085,30,7.4
2002/11/03, 22:12:41.52,63.5141,-147.4529,4.2,7.9
2002/11/17, 04:53:53.54,47.824,146.209,459.1,7.3
2003/01/20, 08:43:06.07,-10.491,160.77,33,7.3
2003/01/22, 02:06:34.61,18.77,-104.104,24,7.6
2003/03/17, 16:36:17.31,51.272,177.978,33,7.1
2003/05/26, 09:24:33.40,38.849,141.568,68,7
2003/05/26, 19:23:27.94,2.354,128.855,31,7
2003/06/20, 06:19:38.91,-7.606,-71.722,558.1,7.1
2003/07/15, 20:27:50.53,-2.598,68.382,10,7.6
2003/08/04, 04:37:20.13,-60.532,-43.411,10,7.6
2003/08/21, 12:12:49.79,-45.104,167.144,28,7.2
2003/09/25, 19:50:06.36,41.815,143.91,27,8.3
2003/09/25, 21:08:00.03,41.774,143.593,33,7.4
2003/09/27, 11:33:25.08,50.038,87.813,16,7.3
2003/10/31, 01:06:28.28,37.812,142.619,10,7
2003/11/17, 06:43:06.80,51.146,178.65,33,7.8
2003/12/27, 16:00:59.45,-22.015,169.766,10,7.3
2004/01/03, 16:23:21.02,-22.253,169.683,22,7.1
2004/02/05, 21:05:02.84,-3.615,135.538,16.6,7
2004/02/07, 02:42:35.21,-4.003,135.023,10,7.3
2004/07/15, 04:27:14.73,-17.656,-178.76,565.5,7.1
2004/07/25, 14:35:19.06,-2.427,103.981,582.1,7.3
2004/09/05, 10:07:07.82,33.07,136.618,14,7.2
2004/09/05, 14:57:18.61,33.184,137.071,10,7.4
2004/10/09, 21:26:53.69,11.422,-86.665,35,7
2004/11/11, 21:26:41.15,-8.152,124.868,10,7.5
2004/11/15, 09:06:56.56,4.695,-77.508,15,7.2
2004/11/22, 20:26:23.90,-46.676,164.721,10,7.1
2004/11/26, 02:25:03.31,-3.609,135.404,10,7.1
2004/11/28, 18:32:14.13,43.006,145.119,39,7
2004/12/23, 14:59:04.41,-49.312,161.345,10,8.1
2004/12/26, 00:58:53.45,3.295,95.982,30,9
2004/12/26, 04:21:29.81,6.91,92.958,39.2,7.2
2005/02/05, 12:23:18.94,5.293,123.337,525,7.1
2005/03/02, 10:42:12.23,-6.527,129.933,201.7,7.1
2005/03/28, 16:09:36.53,2.085,97.108,30,8.6
2005/06/13, 22:44:33.90,-19.987,-69.197,115.6,7.8
2005/06/15, 02:50:54.19,41.292,-125.953,16,7.2
2005/07/24, 15:42:06.21,7.92,92.19,16,7.2
2005/08/16, 02:46:28.40,38.276,142.039,36,7.2
2005/09/09, 07:26:43.73,-4.539,153.474,90,7.6
2005/09/26, 01:55:37.67,-5.678,-76.398,115,7.5
2005/10/08, 03:50:40.80,34.539,73.588,26,7.6
2005/11/14, 21:38:51.42,38.107,144.896,11,7
2006/01/02, 06:10:49.76,-60.957,-21.606,13,7.4
2006/01/02, 22:13:40.49,-19.926,-178.178,582.9,7.2
2006/01/27, 16:58:53.67,-5.473,128.131,397,7.6
2006/02/22, 22:19:07.80,-21.324,33.583,11,7
2006/04/20, 23:25:02.15,60.949,167.089,22,7.6
2006/05/03, 15:26:40.29,-20.187,-174.123,55,8
2006/05/16, 10:39:23.34,-31.81,-179.307,152,7.4
2006/07/17, 08:19:26.68,-9.284,107.419,20,7.7
2006/08/20, 03:41:48.04,-61.029,-34.371,13,7
2006/11/15, 11:14:13.57,46.592,153.266,10,8.3
2006/12/26, 12:26:21.14,21.799,120.547,10,7.1
2007/01/13, 04:23:21.16,46.243,154.524,10,8.1
2007/01/21, 11:27:45.06,1.065,126.282,22,7.5
2007/03/25, 00:40:01.61,-20.617,169.357,34,7.1
2007/04/01, 20:39:58.71,-8.466,157.043,24,8.1
2007/08/01, 17:08:51.40,-15.595,167.68,120,7.2
2007/08/08, 17:05:04.92,-5.859,107.419,280,7.5
2007/08/15, 23:40:57.89,-13.386,-76.603,39,8
2007/09/02, 01:05:18.15,-11.61,165.762,35,7.2
2007/09/12, 11:10:26.83,-4.438,101.367,34,8.5
2007/09/12, 23:49:03.72,-2.625,100.841,35,7.9
2007/09/13, 03:35:28.72,-2.13,99.627,22,7
2007/09/28, 13:38:57.88,22.013,142.668,260,7.5
2007/09/30, 05:23:34.07,-49.271,164.115,10,7.4
2007/10/31, 03:30:15.96,18.9,145.388,207,7.2
2007/11/14, 15:40:50.53,-22.247,-69.89,40,7.7
2007/11/29, 19:00:20.42,14.944,-61.274,156,7.4
2007/12/09, 07:28:20.82,-25.996,-177.514,152.5,7.8
2007/12/19, 09:30:27.93,51.36,-179.509,34,7.2
2008/02/20, 08:08:30.52,2.768,95.964,26,7.4
2008/02/25, 08:36:33.03,-2.486,99.972,25,7.2
2008/03/20, 22:32:57.93,35.49,81.467,10,7.2
2008/04/09, 12:46:12.72,-20.071,168.892,33,7.3
2008/04/12, 00:30:12.60,-55.664,158.453,16,7.1
2008/05/12, 06:28:01.57,31.002,103.322,19,7.9
2008/06/30, 06:17:43.02,-58.227,-22.099,8,7
2008/07/05, 02:12:04.48,53.882,152.886,632.8,7.7
2008/07/19, 02:39:28.70,37.552,142.214,22,7
2008/09/29, 15:19:31.59,-29.756,-177.683,36,7
2008/11/16, 17:02:32.70,1.271,122.091,30,7.4
2008/11/24, 09:02:58.76,54.203,154.322,492.3,7.3
2009/01/03, 19:43:50.65,-0.414,132.885,17,7.7
2009/01/03, 22:33:40.29,-0.691,133.305,23,7.4
2009/01/15, 17:49:39.07,46.857,155.154,36,7.4
2009/02/11, 17:34:50.49,3.886,126.387,20,7.2
2009/02/18, 21:53:45.16,-27.424,-176.33,25,7
2009/03/19, 18:17:40.47,-23.043,-174.66,31,7.6
2009/05/28, 08:24:46.56,16.731,-86.217,19,7.3
2009/07/15, 09:22:29.03,-45.762,166.562,12,7.8
2009/08/09, 10:55:55.11,33.167,137.944,292,7.1
2009/08/10, 19:55:38.73,14.099,92.902,24,7.5
2009/09/02, 07:55:01.05,-7.782,107.297,46,7
2009/09/29, 17:48:10.99,-15.489,-172.095,18,8.1
2009/09/30, 10:16:09.25,-0.72,99.867,81,7.6
2009/10/07, 22:03:14.47,-13.006,166.51,45,7.7
2009/10/07, 22:18:51.24,-12.517,166.382,35,7.8
2009/10/07, 23:13:48.16,-13.093,166.497,31.1,7.4
2009/11/09, 10:44:55.11,-17.239,178.331,595,7.3
2010/01/03, 22:36:25.64,-8.783,157.354,10,7.1
2010/01/12, 21:53:10.06,18.443,-72.571,13,7
2010/02/26, 20:31:26.97,25.93,128.425,25,7
